id;sku;title;category;pegi;price;ean;image;stock;brand;language_in_game;language_on_cover;language_subtitles;usk_on_disc;release_date;manufacturer;oem;platform;genre;weight_g;length_mm;width_mm;height_mm;Band Material;Band Size;Band Width (mm);Bed Legs Material;Capacity (GB);Case Diameter (mm);Character;Club;Color;Content (cl);Content (g);Content (ml);Cup Size;Diameter (cm);Edition;Fit;Format;Gift Card Value;Grip;Grip Size;Height;Height (cm);Lenght (cm);Length;Length (cm);Length (m);Length Size (inches);Mattress Firmness;Mattress Toppers;Mattress Type;Number of Drinks;Primary Color;Region;Ringsize Circumference (mm);Season;Shoe Size (EU);Size;Size (cm);Size (EU);Suit Size;Theme;Value;Volume (L);Volume (ml);Waist Size (inches);Wheel Size (inches);Width;Width (cm);description
23A5VZ;1190029;The King of Fighters XV - Day One Edition (XONE/XSX);Video Games and Consoles - Xbox Series X - Games;12+;34.25;4020628675479;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23A5VZ/4b30c72580574daa96394cf030e19bbf.jpg/f/king-of-fighters-xv-day-one-edition-xone-xsx.jpg;0;;;English;English;12+;2022-02-17;SNK;;Xbox Series X;Fighting;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Day 1 Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>THE KING OF FIGHTERS&mdash<br>Only the world's toughest fighters can duke it out in the largest martial arts tournament in the world.<br><br>Though a mysterious being called Verse destroyed the KOF arena, its threat was quelled thanks to the brave efforts of the winning challengers.<br>Time has passed since the closing of that tumultuous tournament, and the next KOF begins, backed by a new sponsor.<br><br>Meanwhile, Chizuru Kagura senses something interfering with the seal of Orochi, otherwise known as Gaia's Will.<br>She teams up with Kyo Kusanagi and Iori Yagami to join the KOF and investigate.<br><br>Amidst these myriad motives, fighters resurrected after Verse's defeat also join the fray.<br>Once again, a storm is on the horizon...</p>
23A5VY;1190028;The King of Fighters XV - Day One Edition;Video Games and Consoles - PlayStation 5 - Games;12+;34.25;4020628675486;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23A5VY/cc29619e4c2741caa97780630a9ece10.jpg/f/king-of-fighters-xv-day-one-edition.jpg;0;;;English;English;12+;2022-02-17;SNK;;PlayStation 5;Fighting;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Day 1 Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>THE KING OF FIGHTERS&mdash<br>Only the world's toughest fighters can duke it out in the largest martial arts tournament in the world.<br><br>Though a mysterious being called Verse destroyed the KOF arena, its threat was quelled thanks to the brave efforts of the winning challengers.<br>Time has passed since the closing of that tumultuous tournament, and the next KOF begins, backed by a new sponsor.<br><br>Meanwhile, Chizuru Kagura senses something interfering with the seal of Orochi, otherwise known as Gaia's Will.<br>She teams up with Kyo Kusanagi and Iori Yagami to join the KOF and investigate.<br><br>Amidst these myriad motives, fighters resurrected after Verse's defeat also join the fray.<br>Once again, a storm is on the horizon...</p>
235NP4;1155232;Far Cry 6 (Ultimate Edition);Video Games and Consoles - PlayStation 4 - Games;18+;49.99;3307216170969;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235NP4/21eebc4a40964b0a8a023076fc221d0a.jpg/f/far-cry-6-ultimate-edition.jpg;11;;English,German,Spanish,French,Brazilian;English;English,French,German,Italian,Polish,Brazilian,Spanish;18+;2021-10-07;Ubi Soft;300116777;PlayStation 4;First Person Shooter, Open World;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Ultimate Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><strong>The Ultimate Edition</strong> will include the base game, the Season Pass, and the Ultimate pack, which includes Jungle Expedition pack, the Croc Hunter pack, and the Vice pack.</p><p><strong>TRUST YOUR LEADER</strong><br>Anton Castillo played by Giancarlo Esposito is promising to return the island nation of Yara back to its former prosperity while he grooms his son Diego to become the next El Presidente.</p><p><strong>BEWARE THE DICTATOR</strong><br>Anton’s methods are extreme. To build the wealth of the nation for his son to inherit, he will sacrifice the freedom and lives of anyone who stands in his way.</p><p><strong>GUERRILLAS THREATEN THE CAPITOL</strong><br>Those who oppose Anton have a target on their backs. They are branded as Fake Yarans and forced into labor camps, where they are never heard from again.</p><p><strong>GUERRILLAS STRUGGLE AGAINST MILITARY</strong><br>With each passing day, Anton and Diego’s power continues to grow, but the resistance remains divided and without unified leadership. The spark of revolution is in danger of being extinguished.</p><p><strong>THE JEWEL OF THE CARIBBEAN</strong><br>In its past life, Yara was a prosperous nation and a tropical paradise that attracted travelers from all over the world, excited to explore its lush jungles, pristine beaches, and sprawling capitol city.</p><p><strong>A NATION STRANDED IN THE PAST</strong><br>After revolution and decades of foreign economic sanctions and blockade, Yara has been frozen in time, forcing its people to find new ways to adapt.</p>
235ZK8;1157701;Far Cry 6;Video Games and Consoles - PlayStation 5 - Games;18+;39.5;3307216186151;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235ZK8/34a0f35478d948e2a7c1f5023039f2c8.jpg/f/far-cry-6.jpg;46;;English;English;English,French,German,Italian,Polish,Brazilian,Spanish;18+;2021-10-07;Ubi Soft;300118334;PlayStation 5;First Person Shooter, Open World;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><strong>Far Cry is back and welcomes you to the tropical island of Yara. Far Cry 6 takes you into an adrenaline-filled world of modern guerrilla warfare and revolution.</strong></p><p>Join the revolution and push back against the oppressive regime of dictator Antón Castillo and his teenage son Diego, brought to life by Hollywood stars Giancarlo Esposito and Anthony Gonzalez.</p><p>Playing as Dani Rojas, immerse yourself in the journey of a military dropout turned guerrilla revolutionary. To even the odds against Antón’s military, you’ll have to adopt the Resolver philosophy, employing an arsenal of unique and surprising new weapons, vehicles and animal companions to ignite a revolutionary movement that will burn the tyrannical regime to the ground.</p><ul><li><p><strong>Become a guerrilla:</strong> Play Dani Rojas as male or female and experience a compelling storyline that takes you from being a reluctant citizen to a leader fighting against Antón's regime. Jump into the action and chaos of guerrilla combat and gather soldiers and resources to help you in the fight.</p></li><li><p><strong>All new animal companions: </strong></p><p>No guerrilla should go at it alone. Pair up with all-new animal companions like Chorizo, the adorable wiener dog no enemy soldier can ignore, and Guapo, the hungry pet crocodile of your guerrilla mentor, Juan Cortez.</p></li><li><p><strong>Power of an army:</strong> </p><p>Embrace the Resolver philosophy and create a deadly arsenal of makeshift weapons. Give Antón’s troops a taste of guerrilla ingenuity, from a motorcycle engine powered minigun to homing missile throwing backpacks.</p></li><li><p><strong>Yara torn apart:</strong> </p><p>Explore the largest Far Cry to date as you traverse jungles, beaches and urban landscapes. From taking the reins of a horse to commandeering a tank, choose your favourite ride to navigate an entire island nation.</p></li></ul>
235NM9;1155231;Far Cry 6 (Gold Edition);Video Games and Consoles - Xbox One - Games;18+;57.5;3307216171621;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235NM9/7f470c33d0454957b68a4360e00b3c2c.jpg/f/far-cry-6-gold-edition.jpg;108;;English,French,German,Russian,Japanese;English;English,French,German,Russian,Japanese,Italian,Spanish,Polish,Simplified Chinese,Traditional Chinese,Arabic,Korean;18+;2021-10-07;Ubi Soft;300116842;Xbox One;First Person Shooter, Open World;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Gold Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><strong>The Gold Edition</strong> will include the base game and the Season Pass.</p><p><strong>TRUST YOUR LEADER</strong>Anton Castillo played by Giancarlo Esposito is promising to return the island nation of Yara back to its former prosperity while he grooms his son Diego to become the next El Presidente.</p><p><strong>BEWARE THE DICTATOR</strong>Anton’s methods are extreme. To build the wealth of the nation for his son to inherit, he will sacrifice the freedom and lives of anyone who stands in his way.</p><p><strong>GUERRILLAS THREATEN THE CAPITOL</strong>Those who oppose Anton have a target on their backs. They are branded as Fake Yarans and forced into labor camps, where they are never heard from again.</p><p><strong>GUERRILLAS STRUGGLE AGAINST MILITARY</strong>With each passing day, Anton and Diego’s power continues to grow, but the resistance remains divided and without unified leadership. The spark of revolution is in danger of being extinguished.</p><p><strong>THE JEWEL OF THE CARIBBEAN</strong>In its past life, Yara was a prosperous nation and a tropical paradise that attracted travelers from all over the world, excited to explore its lush jungles, pristine beaches, and sprawling capitol city.</p><p><strong>A NATION STRANDED IN THE PAST</strong>After revolution and decades of foreign economic sanctions and blockade, Yara has been frozen in time, forcing its people to find new ways to adapt.</p>
235ZK9;1157702;Far Cry 6 (Gold Edition);Video Games and Consoles - PlayStation 5 - Games;18+;57.5;3307216200727;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235ZK9/7c26a5ffaf9b40da87bbc4420e625289.jpg/f/far-cry-6-gold-edition.jpg;65;;English;English;English,French,German,Italian,Polish,Brazilian,Spanish;18+;2021-10-07;Ubi Soft;300118634;PlayStation 5;First Person Shooter, Open World;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Gold Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><b>The Gold Edition</b>&nbspwill include the base game and the Season Pass.</p><p><b>TRUST YOUR LEADER</b>&nbspAnton Castillo played by Giancarlo Esposito is promising to return the island nation of Yara back to its former prosperity while he grooms his son Diego to become the next El Presidente.</p><p><b>BEWARE THE DICTATOR</b>&nbspAnton’s methods are extreme. To build the wealth of the nation for his son to inherit, he will sacrifice the freedom and lives of anyone who stands in his way.</p><p><b>GUERRILLAS THREATEN THE CAPITOL</b>&nbspThose who oppose Anton have a target on their backs. They are branded as Fake Yarans and forced into labor camps, where they are never heard from again.</p><p><b>GUERRILLAS STRUGGLE AGAINST MILITARY</b>&nbspWith each passing day, Anton and Diego’s power continues to grow, but the resistance remains divided and without unified leadership. The spark of revolution is in danger of being extinguished.</p><p><b>THE JEWEL OF THE CARIBBEAN</b>&nbspIn its past life, Yara was a prosperous nation and a tropical paradise that attracted travelers from all over the world, excited to explore its lush jungles, pristine beaches, and sprawling capitol city.</p><p><b>A NATION STRANDED IN THE PAST</b>&nbspAfter revolution and decades of foreign economic sanctions and blockade, Yara has been frozen in time, forcing its people to find new ways to adapt.</p>
235NM8;1155230;Far Cry 6 (Gold Edition);Video Games and Consoles - PlayStation 4 - Games;18+;57.5;3307216171072;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235NM8/e8d97ab14e6c4948aa4477c67302499c.jpg/f/far-cry-6-gold-edition.jpg;295;;English,German,French,Spanish,Brazilian;English;English,French,German,Italian,Polish,Brazilian,Spanish;18+;2021-10-07;Ubi Soft;300116787;PlayStation 4;First Person Shooter, Open World;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Gold Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><strong>The Gold Edition</strong> will include the base game and the Season Pass.</p><p><strong>TRUST YOUR LEADER</strong><br>Anton Castillo played by Giancarlo Esposito is promising to return the island nation of Yara back to its former prosperity while he grooms his son Diego to become the next El Presidente.</p><p><strong>BEWARE THE DICTATOR</strong><br>Anton’s methods are extreme. To build the wealth of the nation for his son to inherit, he will sacrifice the freedom and lives of anyone who stands in his way.</p><p><strong>GUERRILLAS THREATEN THE CAPITOL</strong><br>Those who oppose Anton have a target on their backs. They are branded as Fake Yarans and forced into labor camps, where they are never heard from again.</p><p><strong>GUERRILLAS STRUGGLE AGAINST MILITARY</strong><br>With each passing day, Anton and Diego’s power continues to grow, but the resistance remains divided and without unified leadership. The spark of revolution is in danger of being extinguished.</p><p><strong>THE JEWEL OF THE CARIBBEAN</strong><br>In its past life, Yara was a prosperous nation and a tropical paradise that attracted travelers from all over the world, excited to explore its lush jungles, pristine beaches, and sprawling capitol city.</p><p><strong>A NATION STRANDED IN THE PAST</strong><br>After revolution and decades of foreign economic sanctions and blockade, Yara has been frozen in time, forcing its people to find new ways to adapt.</p>
AD5864;1136123;Watch Dogs: Legion (Resistance Edition Day 1);Video Games and Consoles - PlayStation 4 - Games;18+;12.75;3307216138655;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AD5864/a26515c9f969446e8c8a0f54badd7791.jpg/f/watch-dogs-legion-resistance-edition-day-1.jpg;303;;English,Russian;English;English,Russian;;2020-10-29;Ubi Soft;;PlayStation 4;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Day 1 Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
239V7C;1187850;Watch Dogs: Legion (PL/CZ);Video Games and Consoles - Xbox Series X - Games;18+;9.5;3307216135395;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/239V7C/28252be1c3d24507bd8b1fc7b2ac03b8.jpg/f/watch-dogs-legion-pl-cz.jpg;162;;English,French,German,Italian,Japanese,Brazilian,Spanish;Polish,Czech,Hungarian;English,Dutch,Spanish,Traditional Chinese,Simplified Chinese,French,Arabic,German,Italian,Japanese,Korean,Polish,Brazilian;18+;2020-10-29;Ubi Soft;;Xbox Series X;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;Import;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
AF9Q6H;1133945;Watch Dogs: Legion;Video Games and Consoles - Xbox One - Games;18+;25.25;3307216135418;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AF9Q6H/5541a51044ed4b7c89c15da7eb74ce7f.jpeg/f/watch-dogs-legion.jpeg;6;;English,French,German,Italian,Spanish,Portuguese;English;English,French,German,Italian,Dutch,Spanish,Polish,Portuguese;18+;2020-10-29;Ubi Soft;300111244;Xbox One;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
235X6P;1157135;Watch Dogs: Legion;Video Games and Consoles - PlayStation 5 - Games;18+;25.25;3307216174820;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235X6P/915459feaa3b44c792d8f6b08dedd7f9.jpg/f/watch-dogs-legion.jpg;52;;English,French,German,Italian,Spanish,Portuguese;English;English,French,German,Italian,Dutch,Spanish,Polish,Portuguese;18+;2020-11-24;Ubi Soft;300117113;PlayStation 5;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
AG5D6J;1133939;Watch Dogs: Legion (Gold Edition);Video Games and Consoles - PlayStation 4 - Games;18+;30.5;3307216143215;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AG5D6J/07bd6fd750b0482a876f0f6e3122e083.jpg/f/watch-dogs-legion-gold-edition.jpg;258;;English,French,German,Italian,Spanish,Portuguese;English;English,French,German,Italian,Dutch,Spanish,Polish,Portuguese;18+;2020-10-29;Ubi Soft;300112047;PlayStation 4;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Gold Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
AK3ZM8;1133944;Watch Dogs: Legion;Video Games and Consoles - PlayStation 4 - Games;18+;25.25;3307216135241;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AK3ZM8/3bacbe229b7a45ae95bfe4bd9422772c.jpeg/f/watch-dogs-legion.jpeg;63;;English,French,German,Italian,Spanish,Portuguese;English;English,French,German,Italian,Dutch,Spanish,Polish,Portuguese;18+;2020-10-29;Ubi Soft;300111226;PlayStation 4;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
235X6R;1157137;Watch Dogs: Legion (Gold Edition);Video Games and Consoles - PlayStation 5 - Games;18+;64.5;3307216158967;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/235X6R/0742c676edcf4423898685edd6e56db5.jpg/f/watch-dogs-legion-gold-edition.jpg;30;;English,French,German,Italian,Spanish,Portuguese;English;English,French,German,Italian,Dutch,Spanish,Polish;18+;2020-11-24;Ubi Soft;300117122;PlayStation 5;Action, Adventure;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Gold Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable.</p><p>The fate of London lies with you and your ability to fight back.</p><p>Welcome to the Resistance.</p><p><strong>OPEN-WORLD LONDON</strong><br>Explore a massive urban open-world and visit London’s many famous landmarks.</p><p><strong>PLAY AS ANYONE</strong><br>Experience a never-before-seen gameplay innovation. Anyone you see can join your team complete with a unique backstory, personality, and skill set.</p><p><strong>HACKING IS YOUR WEAPON</strong><br>Weaponise London’s tech infrastructure. Hijack armed combat drones, deploy stealthy spider-bots, covertly take down enemies using an Augmented Reality Cloak, and much more.</p><p><strong>TEAM UP WITH FRIENDS</strong><br>Bring your team online and join forces with up to three friends as you move freely and explore the world together or take on entirely new co-op missions and challenging endgame content.</p>
A739G6;78093;Clinique - Happy for Women 50 ml. EDP;Beauty - Perfume - Eau de Parfum;;30.99;0020714052959;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/A739G6/7d4d5bb0bfe64f09901b6cb860d133b9.jpg/f/clinique-happy-for-women-50-ml-edp.jpg;65;Clinique;;;;;;Clinique;;;;200.0;154.0;50.0;33.0;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>	Clinique Happy Eau de Parfum for Women is a fresh fragrance of joy, the essence of a sunny, happy morning. Wear Happy and be happy!</p><p>	It can be used by women at all ages, but the biggest group of buyers are women from 20 years.</p><p>	Notes</p><p>	Happy from Clinique open with fresh apple, plums and bergamot mixed with the fresh-air accord as top notes proceed into the egzotic floral heart composed of freesia, lily, rose and morning orchid. Musk and amber are in the base.</p><p>	Eau de Parfum</p><p>	Eau de Parfum is composed of 10-20% aromatic compounds. This means that 10-20% of the perfume is made of perfume oils, while 80-90% is alcohol. The typical Eau de Parfum is 15% perfume.<br>Eau de Parfum has a stronger and longer lasting scent than Eau de Toilette. it is more concentrated and has strong heart notes that linger after the top notes have faded away.	<br>Apply the eau de parfum to pulse point so that the fragrance has an opportunity to blossom upwards around you.</p><p>	Clinique</p><p>	Clinique is a company owned by Estee Lauder. Clinique is known for providing cosmetic users with gentle makeup and effective skincare.Clinique is one of the top brands known worldwide. Clinique's products are allergy tested to provide healthier beauty products for consumers.</p><p>	cas13</p>
236G5T;1162117;Funktion -  Meat Mincer With 8 incl. Cake Plate (238970);Home and Kitchen - Kitchen and dining - Kitchen tools - Kitchen Utensils;;16.3;5722002389703;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/236G5T/d5cc2a51cb324610ba31724c9ed75d10.jpg/f/funktion-meat-mincer-with-8-incl-cake-plate-238970.jpg;59;Funktion;;;;;;Funktion;238970;;;1100.0;270.0;160.0;110.0;;;;;;;;;Silver;;;;;;;;;;;;;;;;;;;;;;;Silver;;;;;One Size;;;;;;;;;;;;<p><strong>Meat mincer in classic design from Funktion.</strong></p><p>Now you can chop meat for meatballs with this practical meat mincer - just like your grandmother back in the days! A cake plate in 18/0 steel is also included, so you can make vanilla wreaths. The chopper is not dishwasher safe and it is important to wash it thoroughly before and between uses. You can see the enclosed package leaflet for preparation and treatment. </p><p><strong>Useful information about Function Meat Mincer No. 8:</strong></p><ul><li><p>Volume: 10 liters</p></li><li><p>Material: Cast iron</p></li><li><p>Dishwasher safe</p></li></ul>
AK9F2X;1131084;Borderlands 3;Video Games and Consoles - PlayStation 4 - Games;18+;4.75;5026555425865;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AK9F2X/297aca6eaf994877ba81c0d2f4b93fa8.jpg/f/borderlands-3.jpg;3299;;English,French,German,Italian,Spanish,Korean,Simplified Chinese,Traditional Chinese;English;English,French,German,Italian,Russian,Spanish,Brazilian,Korean,Simplified Chinese,Traditional Chinese;18+;2019-09-13;Gearbox Publishing;;PlayStation 4;First Person Shooter, Adventure, Shooter;100.0;170.0;135.0;15.0;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>The original shooter-looter returns, packing gazillions of guns and an all-new mayhem-fueled adventure! Blast through new worlds and enemies as one of four brand new Vault Hunters – the ultimate treasure-seeking badasses of the Borderlands, each with deep skill trees, abilities and customization. Play solo or with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy.</p>
