"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR10574";"5055856406464";"Fallout 4 - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856406464.jpg";"19";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
"CDR11857";"5055277036073";"Football Manager 2020  PC";"19.990";"0";"19.990";"lieferbar";"5055277036073.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11501";"4020628771188";"Goldgräber Simulator  PC";"6.500";"0";"6.500";"lieferbar";"4020628771188.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11941";"3665962001303";"Hunting Simulator 2  PC";"19.990";"0";"19.990";"lieferbar";"3665962001303.jpg";"16";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11971";"4020628714857";"Immortal Realms: Vampire Wars  PC";"24.500";"0";"24.500";"lieferbar";"4020628714857.jpg";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11977";"4020628719081";"Iron Harvest  PC";"30.500";"0";"30.500";"lieferbar";"4020628719081.jpg";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11989";"9120080076236";"Kingdoms of Amalur Re-Reckoning  PC";"24.500";"0";"24.500";"lieferbar";"";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR12239";"4041417640799";"Landwirtschafts-Simulator 19  Premium Edition  PC";"25.000";"0";"25.000";"Neuheit";"";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR12240";"4041417640812";"Landwirtschafts-Simulator 19 - Alpine Landwirtschaft  Add On";"12.500";"0";"12.500";"Neuheit";"";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11987";"5021290084711";"Marvel´s Avengers  PC";"37.500";"0";"37.500";"lieferbar";"";"";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11672";"4020628854263";"Metro Exodus  PC";"14.990";"0";"14.990";"lieferbar";"4020628854263.jpg";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11997";"4015918149518";"MS Flight Simulator - Premium DeLuxe Edition  PC";"87.900";"0";"87.900";"lieferbar";"4015918149518.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR12244";"4020628713461";"Port Royale 4  PC";"30.500";"0";"30.500";"Neuheit";"";"6";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11255";"5055856412120";"PREY - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856412120.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11926";"9120080075482";"Remnant: From the Ashes  PC";"21.990";"0";"21.990";"kein Bestand";"";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11968";"8057168501261";"RIDE 4  PC";"30.500";"0";"30.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11915";"3512899122680";"SnowRunner  PC";"24.500";"0";"24.500";"kein Bestand";"3512899122680.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11916";"3512899122970";"SnowRunner  Premium Edition  PC";"37.500";"0";"37.500";"lieferbar";"3512899122970.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR12247";"4020628712501";"Spacebase Startopia  PC";"30.500";"0";"30.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11631";"3512899120648";"Spintires: MudRunner  American Wilds Edition  PC";"7.990";"0";"7.990";"lieferbar";"3512899120648.jpg";"0";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11757";"5055856424574";"The Elder Scrolls Online: Elsweyr - Import (AT)  PC";"14.990";"0";"14.990";"lieferbar";"";"";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
"CDR10647";"5055856407812";"The Elder Scrolls Online: Tamriel Unlimited  3.000 Kronen";"15.000";"0";"15.000";"lieferbar";"5055856407812.jpg";"";"";"";"HCDR";"";"PC";"Online Games"
"CDR11369";"5055856416067";"The Evil Within 2 - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856416067.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11756";"9006113008699";"The Guild 3  Aristocratic Edition  PC";"53.000";"0";"53.000";"Neuheit";"9006113008699.jpg";"";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11743";"9006113008613";"The Guild 3  PC";"30.500";"0";"30.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11879";"9120080075437";"The Hunter: Call of the Wild - Edition 2019  PC";"12.500";"0";"12.500";"lieferbar";"9120080075437.jpg";"12";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11810";"3307216134053";"Tom Clancy´s Ghost Recon - Breakpoint  PC";"19.990";"0";"19.990";"kein Bestand";"";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11956";"4250821804288";"Tom Clancy´s Splinter Cell: Blacklist  PC";"3.990";"0";"3.990";"lieferbar";"";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR12249";"5055277039784";"Total War: Three Kingdoms  Royal Edition  PC";"26.000";"0";"26.000";"Neuheit";"";"12";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11945";"3665962002126";"Tour de France 2020  PC";"23.500";"0";"23.500";"lieferbar";"3665962002126.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11939";"4020628767747";"Wasteland 3  Day One Edition  PC";"36.500";"0";"36.500";"lieferbar";"4020628767747.jpg";"18";"";"";"HCDR";"";"PC";"Adventure"
"CDR11370";"5055856416562";"Wolfenstein II: The New Colossus - Import (AT)  PC";"7.990";"0";"7.990";"lieferbar";"5055856416562.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR3102";"3348542196902";"World of Warcraft  60-Tage Game Time Card";"19.990";"0";"19.990";"lieferbar";"world_of_warcraft_wow_60_days_gtc_game_time_card.jpg";"12";"https://www.youtube.com/embed/nK6smbbkHUk";"nK6smbbkHUk";"HCDR";"";"PC";"Online Games,Rollenspiele RPG"
"NSW1463";"0884095198442";"ARK: Survival Evolved  SWITCH";"22.500";"0";"22.500";"Neuheit";"";"16";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Strategiespiele"
"NSW1462";"3760156486604";"Asterix & Obelix XXL - Romastered  SWITCH";"28.500";"0";"28.500";"Neuheit";"";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1434";"5026555067959";"BioShock - The Collection  SWITCH";"29.990";"0";"29.990";"lieferbar";"5026555067959.jpg";"18";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1435";"5026555068079";"Borderlands  Legendary Collection  SWITCH";"29.990";"0";"29.990";"lieferbar";"5026555068079.jpg";"18";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1287";"5030917269820";"CTR Crash Team Racing Nitro Fueled  SWITCH";"19.990";"0";"19.990";"lieferbar";"5030917269820.jpg";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Rennspiele"
"NSW1371";"0045496424589";"Daemon X Machina  SWITCH";"19.990";"0";"19.990";"lieferbar";"0045496424589.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1145";"0045496421762";"Donkey Kong Country: Tropical Freeze  SWITCH";"38.990";"0";"38.990";"lieferbar";"0045496421762.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1407";"0045496425890";"Dr. Kawashimas Gehirn-Jogging  SWITCH";"19.990";"0";"19.990";"lieferbar";"0045496425890.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Lernspiele"
"NSW1340";"0045496422769";"Dragon Quest Builders 2  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496422769.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1424";"5060327535741";"Fairy Tail  SWITCH";"42.500";"0";"42.500";"lieferbar";"5060327535741.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Rollenspiele RPG"
"NSW1454";"5030940123502";"FIFA 21  Legacy Edition  SWITCH";"33.500";"0";"33.500";"Neuheit";"";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1410";"3307216142645";"Gods & Monsters  SWITCH";"41.500";"0";"41.500";"Neuheit";"";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1396";"3512899122543";"Landwirtschafts-Simulator 20  SWITCH";"31.000";"0";"31.000";"lieferbar";"3512899122543.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Simulationen"
"NSW1403";"0045496424909";"Mario & Sonic bei den Olympischen Spielen: Tokyo 2020  SWITC";"34.990";"0";"34.990";"lieferbar";"0045496424909.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1167";"0045496422059";"Mario Tennis Aces  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496422059.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1459";"0045496426156";"Minecraft Dungeons  SWITCH";"20.500";"0";"20.500";"kein Bestand";"";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Strategiespiele"
"NSW1446";"3760156485133";"My Universe: My Baby  SWITCH";"27.500";"0";"27.500";"lieferbar";"3760156485133.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Simulationen"
"NSW1420";"3391892008890";"Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto  SWI";"33.500";"0";"33.500";"lieferbar";"3391892008890.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1362";"5026555067676";"NBA 2K20  SWITCH";"9.990";"0";"9.990";"lieferbar";"5026555067676.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1456";"5026555068987";"NBA 2K21  SWITCH";"36.500";"0";"36.500";"lieferbar";"";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1282";"0045496423827";"New Super Mario Bros. U DeLuxe  SWITCH";"40.500";"0";"40.500";"lieferbar";"0045496423827.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1432";"3760156484808";"Oddworld Stranger´s Wrath HD  SWITCH";"21.000";"0";"21.000";"lieferbar";"3760156484808.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1458";"0045496423100";"Pikmin 3  DeLuxe  SWITCH";"40.500";"0";"40.500";"Neuheit";"";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1418";"0045496415982";"Pokemon Mystery Dungeon: Retterteam DX  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496415982.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1365";"0045496424749";"Pokemon Schwert  SWITCH";"38.990";"0";"38.990";"lieferbar";"0045496424749.jpg";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1349";"5030917284571";"Spyro Reignited Trilogy  SWITCH";"24.500";"0";"24.500";"lieferbar";"5030917284571.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1341";"0045496424336";"Super Mario Maker 2  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496424336.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1216";"0045496423025";"Super Mario Party  SWITCH";"40.000";"0";"40.000";"lieferbar";"0045496423025.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1368";"0045496425623";"Tetris 99  SWITCH";"17.990";"0";"17.990";"lieferbar";"0045496425623.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Geschicklichkeit"
"NSW1015";"0045496420093";"The Legend of Zelda: Breath of the Wild  SWITCH";"46.500";"0";"46.500";"lieferbar";"0045496420093.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Rollenspiele RPG"
"NSW1372";"0045496424428";"The Legend of Zelda: Link´s Awakening  SWITCH";"38.990";"0";"38.990";"lieferbar";"0045496424428.jpg";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1426";"5026555067799";"The Outer Worlds  SWITCH";"34.990";"0";"34.990";"lieferbar";"5026555067799.jpg";"16";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1417";"3499550376326";"TT - Isle of Man 2  SWITCH";"35.500";"0";"35.500";"lieferbar";"3499550376326.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Rennspiele"
"NSW1457";"5026555069106";"WWE 2K Battlegrounds  SWITCH";"24.500";"0";"24.500";"Neuheit";"";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1436";"0045496425814";"Xenoblade Chronicles: Definitive Edition  SWITCH";"40.500";"0";"40.500";"lieferbar";"0045496425814.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"PS45236";"3307216167242";"Assassin´s Creed Valhalla  PS4";"48.000";"0";"48.000";"Neuheit";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45237";"3307216167211";"Assassin´s Creed Valhalla  Ultimate Edition  PS4";"73.500";"0";"73.500";"Neuheit";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45270";"3760156486635";"Asterix & Obelix XXL - Romastered  PS4";"28.500";"0";"28.500";"Neuheit";"";"6";"";"";"PS4";"";"SONY PLAYSTATION 4";"Fun & JumpNRun"
"PS45178";"9120080071286";"Biomutant  PS4";"39.000";"0";"39.000";"Neuheit";"9120080071286.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS44994";"5026555425933";"Borderlands 3  Deluxe  PS4";"19.990";"0";"19.990";"lieferbar";"5026555425933.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS44993";"5026555425810";"Borderlands 3  PS4";"6.990";"0";"6.990";"lieferbar";"5026555425810.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45271";"5030917291869";"Call of Duty: Black Ops - Cold War  PS4";"45.500";"0";"45.500";"Neuheit";"";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45272";"5030917291876";"Call of Duty: Black Ops - Cold War - Import (AT)  PS4";"45.500";"0";"45.500";"Neuheit";"";"19";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45122";"5026555425698";"Civilization VI  PS4";"17.990";"0";"17.990";"lieferbar";"5026555425698.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45257";"5030917290985";"Crash Bandicoot 4 - It´s About Time  PS4";"42.500";"0";"42.500";"Neuheit";"5030917290985.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Fun & JumpNRun"
"PS45159";"3391892006025";"Cyberpunk 2077  Day One Edition  PS4";"46.500";"0";"46.500";"Neuheit";"3391892006025.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45240";"4020628715878";"DIRT 5 - Launch Edition  PS4";"42.500";"0";"42.500";"Neuheit";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45239";"3760156484938";"Escape Game - Fort Boyard  PS4";"27.500";"0";"27.500";"lieferbar";"3760156484938.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45224";"4020928722555";"F1 2020 - 70 Jahre F1 Edition  PS4";"42.500";"0";"42.500";"lieferbar";"4020928722555.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45225";"4020928722494";"F1 2020 - Schumacher DeLuxe Edition  PS4";"48.500";"0";"48.500";"lieferbar";"4020928722494.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45176";"5060327535697";"Fairy Tail  PS4";"42.500";"0";"42.500";"lieferbar";"5060327535697.jpg";"16";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rollenspiele RPG"
"PS45209";"3391892009088";"Fast & Furious Crossroads  PS4";"46.500";"0";"46.500";"lieferbar";"3391892009088.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45258";"5030947124106";"FIFA 21  Champions Edition  PS4";"61.000";"0";"61.000";"Neuheit";"";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45259";"5035225124427";"FIFA 21  PS4";"47.000";"0";"47.000";"Neuheit";"";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45083";"3760156483740";"Garfield Kart Furious Racing  PS4";"24.000";"0";"24.000";"lieferbar";"3760156483740.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45215";"0711719364009";"Ghost of Tsushima  PS4";"44.990";"0";"44.990";"lieferbar";"0711719364009.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45153";"3307216142331";"Gods & Monsters  PS4";"48.000";"0";"48.000";"Neuheit";"3307216142331.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45113";"5026555426916";"Grand Theft Auto V  Premium Edition  PS4";"14.990";"0";"14.990";"kein Bestand";"5026555426916.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45267";"3512899123120";"Landwirtschafts-Simulator 19  Premium Edition  PS4";"35.500";"0";"35.500";"Neuheit";"";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Simulationen"
"PS45248";"5026555428170";"Mafia 1  Definitive Edition  PS4";"24.500";"0";"24.500";"Neuheit";"5026555428170.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45249";"5026555428293";"Mafia Trilogy  PS4";"38.000";"0";"38.000";"Neuheit";"5026555428293.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45261";"5021290084834";"Marvel´s Avengers  PS4";"43.500";"0";"43.500";"lieferbar";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45263";"5026555428422";"NBA 2K21  PS4";"41.000";"0";"41.000";"lieferbar";"";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45273";"5030937122983";"NHL 21  PS4";"47.000";"0";"47.000";"Neuheit";"";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45161";"3391892007640";"One Piece: Pirate Warriors 4  PS4";"24.990";"0";"24.990";"lieferbar";"3391892007640.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45163";"3391892006803";"One Punch Man: A Hero Nobody Knows  PS4";"14.990";"0";"14.990";"lieferbar";"3391892006803.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45268";"4020628713454";"Port Royale 4  PS4";"36.500";"0";"36.500";"Neuheit";"";"6";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45214";"0711719361107";"Predator: Hunting Grounds  PS4";"16.990";"0";"16.990";"lieferbar";"0711719361107.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45253";"3391892011746";"Project Cars 3  PS4";"46.500";"0";"46.500";"lieferbar";"3391892011746.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS44724";"5026555423076";"Red Dead Redemption 2  PS4";"15.990";"0";"15.990";"lieferbar";"5026555423076.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45166";"5055060949634";"Resident Evil 3  PS4";"24.990";"0";"24.990";"lieferbar";"5055060949634.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45244";"8057168501025";"RIDE 4  PS4";"42.500";"0";"42.500";"Neuheit";"8057168501025.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45260";"5030947124151";"Rocket Arena  Mythic Edition  PS4";"4.990";"0";"4.990";"lieferbar";"5030947124151.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45269";"4020928712495";"Spacebase Startopia  PS4";"36.500";"0";"36.500";"Neuheit";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45256";"5035223124023";"Star Wars Squadrons  PS4";"27.000";"0";"27.000";"Neuheit";"5035223124023.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45169";"3391892008685";"Sword Art Online Alicization Lycoris  PS4";"46.500";"0";"46.500";"lieferbar";"3391892008685.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45212";"0711719330202";"The Last of US  Part II  PS4";"34.990";"0";"34.990";"lieferbar";"0711719330202.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45213";"0711719338505";"The Last of US  Part II  Special Edition  PS4";"49.990";"0";"49.990";"lieferbar";"0711719338505.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45059";"5026555426183";"The Outer Worlds  PS4";"16.990";"0";"16.990";"lieferbar";"5026555426183.jpg";"16";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45241";"5030917291180";"Tony Hawk´s Pro Skater 1+2  PS4";"29.000";"0";"29.000";"lieferbar";"5030917291180.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45220";"4020628767730";"Wasteland 3  Day One Edition  PS4";"36.500";"0";"36.500";"lieferbar";"4020628767730.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45154";"3307216135142";"Watch Dogs: Legion  PS4";"48.000";"0";"48.000";"Neuheit";"3307216135142.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45156";"3307216137320";"Watch Dogs: Legion  Ultimate Edition  PS4";"73.500";"0";"73.500";"Neuheit";"3307216137320.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45264";"5026555428637";"WWE 2K Battlegrounds  PS4";"24.500";"0";"24.500";"Neuheit";"";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45165";"3760156483825";"XIII  Limited Edition  PS4";"34.500";"0";"34.500";"Neuheit";"3760156483825.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS50001";"5030917292507";"Call of Duty: Black Ops - Cold War  PS5";"48.500";"0";"48.500";"Neuheit";"";"18";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"PS50002";"5030917292514";"Call of Duty: Black Ops - Cold War - Import (AT)  PS5";"48.500";"0";"48.500";"Neuheit";"";"19";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"100838";"-";"Call of Duty: Black Ops 2 - Bügelbild";"0.100";"0";"0.100";"lieferbar";"callbuegelbilder.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100821";"-";"Die Siedler - Schlüsselanhänger";"0.100";"0";"0.100";"lieferbar";"siedlerschlusselanhanger.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100811";"-";"Fallout 76 - Schlüsselanhänger";"0.250";"0";"0.250";"lieferbar";"fallout76schlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"XB10985";"3307216167303";"Assassin´s Creed Valhalla  Xbox One";"48.000";"0";"48.000";"Neuheit";"";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
