"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR11792";"4020628743444";"Ash of Gods: Redemption  PC";"3.990";"0";"3.990";"lieferbar";"4020628743444.jpg";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11908";"9120080071262";"Biomutant  PC";"39.000";"0";"39.000";"Neuheit";"9120080071262.jpg";"";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR12254";"9120080075833";"Chronos: Before the Ashes  PC";"19.500";"0";"19.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
"CDR11068";"5026555065399";"Civilization VI  PC";"5.990";"0";"5.990";"lieferbar";"5026555065399usk.jpg";"12";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11991";"4020628709631";"Crusader Kings III  PC";"30.500";"0";"30.500";"lieferbar";"";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11834";"9120080074324";"Darksiders Genesis  PC";"13.990";"0";"13.990";"lieferbar";"9120080074324.jpg";"12";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11923";"3701403100560";"Detroit Become Human  PC";"26.000";"0";"26.000";"lieferbar";"";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11999";"4020628709822";"DIRT 5  Day One Edition  PC";"33.500";"0";"33.500";"Neuheit";"4020628709822.jpg";"";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11429";"5055856418580";"Fallout 4  Game of the Year Edition - Import (AT)  PC";"9.990";"0";"9.990";"lieferbar";"5055856418580.jpg";"19";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
"CDR11501";"4020628771188";"Goldgräber Simulator  PC";"6.500";"0";"6.500";"lieferbar";"4020628771188.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11941";"3665962001303";"Hunting Simulator 2  PC";"19.990";"0";"19.990";"lieferbar";"3665962001303.jpg";"16";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11977";"4020628719081";"Iron Harvest  PC";"30.500";"0";"30.500";"kein Bestand";"4020628719081.jpg";"16";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11672";"4020628854263";"Metro Exodus  PC";"14.990";"0";"14.990";"lieferbar";"4020628854263.jpg";"18";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR11997";"4015918149518";"MS Flight Simulator - Premium DeLuxe Edition  PC";"87.900";"0";"87.900";"lieferbar";"4015918149518.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11915";"3512899122680";"SnowRunner  PC";"24.500";"0";"24.500";"kein Bestand";"3512899122680.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11916";"3512899122970";"SnowRunner  Premium Edition  PC";"37.500";"0";"37.500";"lieferbar";"3512899122970.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR12247";"4020628712501";"Spacebase Startopia  PC";"30.500";"0";"30.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11631";"3512899120648";"Spintires: MudRunner  American Wilds Edition  PC";"7.990";"0";"7.990";"lieferbar";"3512899120648.jpg";"0";"";"";"HCDR";"";"PC";"Rennspiele"
"CDR11757";"5055856424574";"The Elder Scrolls Online: Elsweyr - Import (AT)  PC";"14.990";"0";"14.990";"lieferbar";"";"";"";"";"HCDR";"";"PC";"Rollenspiele RPG"
"CDR10647";"5055856407812";"The Elder Scrolls Online: Tamriel Unlimited  3.000 Kronen";"14.990";"0";"14.990";"lieferbar";"5055856407812.jpg";"";"";"";"HCDR";"";"PC";"Online Games"
"CDR11756";"9006113008699";"The Guild 3  Aristocratic Edition  PC";"53.000";"0";"53.000";"Neuheit";"9006113008699.jpg";"";"";"";"HCDR";"";"PC";"Strategiespiele"
"CDR11743";"9006113008613";"The Guild 3  PC";"30.500";"0";"30.500";"Neuheit";"";"";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11945";"3665962002126";"Tour de France 2020  PC";"21.990";"0";"21.990";"lieferbar";"3665962002126.jpg";"0";"";"";"HCDR";"";"PC";"Simulationen"
"CDR11939";"4020628767747";"Wasteland 3  Day One Edition  PC";"36.500";"0";"36.500";"lieferbar";"4020628767747.jpg";"18";"";"";"HCDR";"";"PC";"Adventure"
"CDR11370";"5055856416562";"Wolfenstein II: The New Colossus - Import (AT)  PC";"7.990";"0";"7.990";"lieferbar";"5055856416562.jpg";"19";"";"";"HCDR";"";"PC";"Actionspiele"
"CDR3102";"3348542196902";"World of Warcraft  60-Tage Game Time Card";"19.990";"0";"19.990";"kein Bestand";"world_of_warcraft_wow_60_days_gtc_game_time_card.jpg";"12";"https://www.youtube.com/embed/nK6smbbkHUk";"nK6smbbkHUk";"HCDR";"";"PC";"Online Games,Rollenspiele RPG"
"NSW1463";"0884095198442";"ARK: Survival Evolved  SWITCH";"22.500";"0";"22.500";"Neuheit";"";"16";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Strategiespiele"
"NSW1434";"5026555067959";"BioShock - The Collection  SWITCH";"24.990";"0";"24.990";"lieferbar";"5026555067959.jpg";"18";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1435";"5026555068079";"Borderlands  Legendary Collection  SWITCH";"24.990";"0";"24.990";"lieferbar";"5026555068079.jpg";"18";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1145";"0045496421762";"Donkey Kong Country: Tropical Freeze  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496421762.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
