"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"NSW1454";"5030940123502";"FIFA 21  Legacy Edition  SWITCH";"33.500";"0";"33.500";"Neuheit";"5030940123502.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1468";"5051890324139";"FORTNITE - The Last Laugh Bundle  SWITCH";"19.490";"0";"19.490";"Neuheit";"";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1403";"0045496424909";"Mario & Sonic bei den Olympischen Spielen: Tokyo 2020  SWITC";"34.990";"0";"34.990";"lieferbar";"0045496424909.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1167";"0045496422059";"Mario Tennis Aces  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496422059.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1420";"3391892008890";"Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto  SWI";"29.990";"0";"29.990";"lieferbar";"3391892008890.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1362";"5026555067676";"NBA 2K20  SWITCH";"9.990";"0";"9.990";"lieferbar";"5026555067676.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Sportspiele"
"NSW1282";"0045496423827";"New Super Mario Bros. U DeLuxe  SWITCH";"37.990";"0";"37.990";"lieferbar";"0045496423827.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1418";"0045496415982";"Pokemon Mystery Dungeon: Retterteam DX  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496415982.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1349";"5030917284571";"Spyro Reignited Trilogy  SWITCH";"21.990";"0";"21.990";"lieferbar";"5030917284571.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1341";"0045496424336";"Super Mario Maker 2  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496424336.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1216";"0045496423025";"Super Mario Party  SWITCH";"37.990";"0";"37.990";"lieferbar";"0045496423025.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Fun & JumpNRun"
"NSW1368";"0045496425623";"Tetris 99  SWITCH";"17.990";"0";"17.990";"lieferbar";"0045496425623.jpg";"0";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Geschicklichkeit"
"NSW1015";"0045496420093";"The Legend of Zelda: Breath of the Wild  SWITCH";"39.990";"0";"39.990";"lieferbar";"0045496420093.jpg";"12";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Rollenspiele RPG"
"NSW1372";"0045496424428";"The Legend of Zelda: Link´s Awakening  SWITCH";"38.990";"0";"38.990";"lieferbar";"0045496424428.jpg";"6";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1426";"5026555067799";"The Outer Worlds  SWITCH";"24.990";"0";"24.990";"lieferbar";"5026555067799.jpg";"16";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"NSW1436";"0045496425814";"Xenoblade Chronicles: Definitive Edition  SWITCH";"37.990";"0";"37.990";"lieferbar";"0045496425814.jpg";"";"";"";"NSWITCH";"";"NINTENDO SWITCH";"Actionspiele"
"PS45236";"3307216167242";"Assassin´s Creed Valhalla  PS4";"48.000";"0";"48.000";"Neuheit";"3307216167242.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45237";"3307216167211";"Assassin´s Creed Valhalla  Ultimate Edition  PS4";"73.500";"0";"73.500";"Neuheit";"3307216167211.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS44994";"5026555425933";"Borderlands 3  Deluxe  PS4";"19.990";"0";"19.990";"lieferbar";"5026555425933.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45271";"5030917291869";"Call of Duty: Black Ops - Cold War  PS4";"45.500";"0";"45.500";"Neuheit";"5030917291869.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45272";"5030917291876";"Call of Duty: Black Ops - Cold War - Import (AT)  PS4";"45.500";"0";"45.500";"Neuheit";"5030917291876.jpg";"19";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45122";"5026555425698";"Civilization VI  PS4";"14.990";"0";"14.990";"lieferbar";"5026555425698.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45257";"5030917290985";"Crash Bandicoot 4 - It´s About Time  PS4";"42.500";"0";"42.500";"kein Bestand";"5030917290985.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Fun & JumpNRun"
"PS45240";"4020628715878";"DIRT 5 - Launch Edition  PS4";"42.500";"0";"42.500";"Neuheit";"4020628715878.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45258";"5030947124106";"FIFA 21  Champions Edition  PS4";"61.000";"0";"61.000";"lieferbar";"5030947124106.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45259";"5035225124427";"FIFA 21  PS4";"47.000";"0";"47.000";"Neuheit";"5035225124427.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45274";"5051890324146";"FORTNITE - The Last Laugh Bundle  PS4";"19.490";"0";"19.490";"Neuheit";"";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45215";"0711719364009";"Ghost of Tsushima  PS4";"34.990";"0";"34.990";"lieferbar";"0711719364009.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45113";"5026555426916";"Grand Theft Auto V  Premium Edition  PS4";"12.990";"0";"12.990";"lieferbar";"5026555426916.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45249";"5026555428293";"Mafia Trilogy  PS4";"38.000";"0";"38.000";"lieferbar";"5026555428293.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45275";"4012160262880";"Minecraft  PS4";"24.990";"0";"24.990";"lieferbar";"";"6";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45273";"5030937122983";"NHL 21  PS4";"47.000";"0";"47.000";"Neuheit";"";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45161";"3391892007640";"One Piece: Pirate Warriors 4  PS4";"19.990";"0";"19.990";"lieferbar";"3391892007640.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45253";"3391892011746";"Project Cars 3  PS4";"44.990";"0";"44.990";"lieferbar";"3391892011746.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS44724";"5026555423076";"Red Dead Redemption 2  PS4";"15.990";"0";"15.990";"lieferbar";"5026555423076.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45166";"5055060949634";"Resident Evil 3  PS4";"24.990";"0";"24.990";"lieferbar";"5055060949634.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45244";"8057168501025";"RIDE 4  PS4";"42.500";"0";"42.500";"Neuheit";"8057168501025.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45260";"5030947124151";"Rocket Arena  Mythic Edition  PS4";"4.990";"0";"4.990";"lieferbar";"5030947124151.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45256";"5035223124023";"Star Wars Squadrons  PS4";"27.000";"0";"27.000";"lieferbar";"5035223124023.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45212";"0711719330202";"The Last of US  Part II  PS4";"34.990";"0";"34.990";"lieferbar";"0711719330202.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45059";"5026555426183";"The Outer Worlds  PS4";"16.990";"0";"16.990";"lieferbar";"5026555426183.jpg";"16";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45154";"3307216135142";"Watch Dogs: Legion  PS4";"48.000";"0";"48.000";"Neuheit";"3307216135142.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45156";"3307216137320";"Watch Dogs: Legion  Ultimate Edition  PS4";"73.500";"0";"73.500";"Neuheit";"3307216137320.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS50001";"5030917292507";"Call of Duty: Black Ops - Cold War  PS5";"48.500";"0";"48.500";"Neuheit";"5030917292507.jpg";"18";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"PS50002";"5030917292514";"Call of Duty: Black Ops - Cold War - Import (AT)  PS5";"48.500";"0";"48.500";"Neuheit";"";"19";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"PS50003";"5051890324153";"FORTNITE - The Last Laugh Bundle  PS5";"19.490";"0";"19.490";"Neuheit";"";"12";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"150022";"-";"Aerosoft Lanyard";"3.500";"0";"3.500";"lieferbar";"aerosoftlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150058";"-";"Atari Schal";"3.500";"0";"3.500";"lieferbar";"atarischal.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150010";"-";"Baumfigur";"0.200";"0";"0.200";"lieferbar";"baumfigur.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150033";"-";"Blast Lanyard";"0.250";"0";"0.250";"lieferbar";"blastlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100838";"-";"Call of Duty: Black Ops 2 - Bügelbild";"0.100";"0";"0.100";"lieferbar";"callbuegelbilder.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150017";"-";"Deck Box Magic The Gathering";"1.000";"0";"1.000";"lieferbar";"deckboxmagic.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150038";"-";"Deep Silver dick Lanyard";"1.500";"0";"1.500";"lieferbar";"deepsilverdicklanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150020";"-";"Deep Silver dünn Lanyard";"1.500";"0";"1.500";"lieferbar";"deepsilverdunnlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150057";"-";"Die Siedler Radiergummi";"0.100";"0";"0.100";"lieferbar";"siedlerradier.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150028";"-";"DTM Race Driver 3 Lanyard";"1.000";"0";"1.000";"lieferbar";"dtmracedriverlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150053";"-";"dtp Tasche";"1.000";"0";"1.000";"lieferbar";"dtptasche.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150030";"-";"EA FIFA 10 Lanyard";"1.500";"0";"1.500";"lieferbar";"eafifa10lanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150045";"-";"EA Sport rot dick Lanyard";"3.500";"0";"3.500";"lieferbar";"easportsredlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150027";"-";"EA Sports rot weiß Lanyard";"3.500";"0";"3.500";"lieferbar";"ealanyardwhitered.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150049";"-";"EAXUS Infrared Leiste Wii";"2.500";"0";"2.500";"lieferbar";"eaxusinfraredwii.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150042";"-";"EAXUS Multitap PS2";"2.500";"0";"2.500";"lieferbar";"eaxusmultitapps2.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150043";"-";"EAXUS ShockController Gamecube + Wii";"3.500";"0";"3.500";"lieferbar";"eaxusshockcontroller.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150044";"-";"EAXUS SportPack WII";"2.500";"0";"2.500";"lieferbar";"eaxussportpack.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150046";"-";"EAXUS Super Dual Box";"2.500";"0";"2.500";"lieferbar";"eaxussuperdualps2.jpg";"";"";"";"SON";"";"SONSTIGES";""
"200007";"-";"Fallout - Schlüsselanhänger";"0.100";"0";"0.100";"lieferbar";"fallout4schlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100811";"-";"Fallout 76 - Schlüsselanhänger";"0.250";"0";"0.250";"lieferbar";"fallout76schlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150047";"-";"Fifa 07 T-Shirt";"4.500";"0";"4.500";"lieferbar";"fifa07tshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150015";"-";"FIFA 08 Aufkleber";"0.100";"0";"0.100";"lieferbar";"fifa08aufkleber.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150051";"-";"Frogger Tasche";"2.000";"0";"2.000";"lieferbar";"froggertasche.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150031";"-";"Haze Lanyard";"1.000";"0";"1.000";"lieferbar";"hazelanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150056";"-";"Herlitz Malkasten";"1.500";"0";"1.500";"lieferbar";"herlitzmalkasten.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150032";"-";"Hunted Lanyard + Kuli";"3.000";"0";"3.000";"lieferbar";"huntedlanyardkuli.jpg";"";"";"";"SON";"";"SONSTIGES";""
"200033";"-";"Joystick Saitek - Schlüsselanhänger";"0.100";"0";"0.100";"lieferbar";"joysticksaitekschlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150035";"-";"Konami Schlüsselanhänger";"2.500";"0";"2.500";"lieferbar";"konamischlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150023";"-";"Logitech Lanyard";"3.500";"0";"3.500";"lieferbar";"logitechlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150055";"-";"Mein Koch Coach Tütte";"1.000";"0";"1.000";"lieferbar";"meinkochtutte.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150018";"-";"Midway Lanyard";"1.500";"0";"1.500";"lieferbar";"midwaylany.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150052";"-";"MII Rucksack";"2.500";"0";"2.500";"lieferbar";"miirucksack.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150025";"-";"NfS Hot Pursuit Lanyard";"3.500";"0";"3.500";"lieferbar";"needhotlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150041";"-";"Nike Triax C3 Uhr";"15.000";"0";"15.000";"lieferbar";"niketriaxuhr.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150014";"-";"Nova Mousepad Raider";"2.000";"0";"2.000";"lieferbar";"";"";"";"";"SON";"";"SONSTIGES";""
"150024";"-";"Perry Rhodan Lanyard";"0.500";"0";"0.500";"lieferbar";"perryrhodanlany.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150050";"-";"Plastic Holder Card Sleeves";"2.000";"0";"2.000";"lieferbar";"plasticholdercard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150037";"-";"Playstation 2 blau Lanyard";"3.500";"0";"3.500";"lieferbar";"ps2blaulanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150006";"-";"Playstation 2 Buzz grün Lanyard";"5.000";"0";"5.000";"lieferbar";"buzzgrunlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150007";"-";"Playstation 2 Buzz orange Lanyard";"5.000";"0";"5.000";"lieferbar";"buzzorangelanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100826";"-";"PlayStation 3 - Armband / Schweißband";"0.500";"0";"0.500";"lieferbar";"playstation3armband.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150004";"-";"Playstation 3 Lanyard";"2.000";"0";"2.000";"lieferbar";"playstation3lanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150005";"-";"Playstation 3 Schlüsselanhänger Band";"2.000";"0";"2.000";"lieferbar";"playstation3schlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150019";"-";"PSP white Lanyard";"4.000";"0";"4.000";"lieferbar";"pspwhitelanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150026";"-";"Razer Lanyard";"2.500";"0";"2.500";"lieferbar";"razerlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150054";"-";"Riding Star T-Shirt";"1.000";"0";"1.000";"lieferbar";"ridingstartshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150008";"-";"Speed Link Armband";"0.500";"0";"0.500";"lieferbar";"speedlingarmband.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150029";"-";"Speed Link Lanyard";"0.100";"0";"0.100";"lieferbar";"speedlinklanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150011";"-";"T-Shirt NBA 2K17 rot";"5.000";"0";"5.000";"lieferbar";"";"";"";"";"SON";"";"SONSTIGES";""
"150012";"-";"T-Shirt W2K17 schwarz";"5.000";"0";"5.000";"lieferbar";"w2k17tshirtschwarz.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150036";"-";"The Elder Scrolls Lanyard";"2.500";"0";"2.500";"lieferbar";"theelderlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150016";"-";"Tony Hawks Project 8 Lanyard";"3.500";"0";"3.500";"lieferbar";"";"";"";"";"SON";"";"SONSTIGES";""
"150048";"-";"Tony Hawks Proring Ground T-Shirt";"3.500";"0";"3.500";"lieferbar";"tonyprovingtshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150034";"-";"Transformers Schlüsselanhänger";"1.500";"0";"1.500";"lieferbar";"transformersschlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150013";"-";"Ubisoft Aufnäher";"3.000";"0";"3.000";"lieferbar";"ubisoftaufnaher.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150021";"-";"Ubisoft Lanyard";"2.500";"0";"2.500";"lieferbar";"ubisoftlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150002";"-";"Ubisoft Tasche";"7.000";"0";"7.000";"lieferbar";"ubisofttasche.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150003";"-";"Wintersports 2009 RTL Schal";"2.000";"0";"2.000";"lieferbar";"";"";"";"";"SON";"";"SONSTIGES";""
"150001";"-";"WoW Burning Crusade grün Lanyard";"3.000";"0";"3.000";"lieferbar";"wowburninggrunlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150009";"-";"WoW schwarz Lanyard";"3.000";"0";"3.000";"lieferbar";"wowschwarzlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"XB10985";"3307216167303";"Assassin´s Creed Valhalla  Xbox One";"48.000";"0";"48.000";"Neuheit";"3307216167303.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11015";"5030917292002";"Call of Duty: Black Ops - Cold War  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292002.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11016";"5030917292019";"Call of Duty: Black Ops - Cold War - Import (AT)  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292019.jpg";"19";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11001";"5030917291081";"Crash Bandicoot 4 - It´s About Time  Xbox One";"42.500";"0";"42.500";"kein Bestand";"5030917291081.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Fun & JumpNRun"
"XB10987";"4020628715861";"DIRT 5 - Launch Edition  Xbox One";"42.500";"0";"42.500";"Neuheit";"4020628715861.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Rennspiele"
"XB10969";"3391892009163";"Fast & Furious Crossroads  Xbox One";"29.990";"0";"29.990";"lieferbar";"3391892009163.jpg";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Rennspiele"
"XB11003";"5030937124116";"FIFA 21  Champions Edition  Xbox One";"61.000";"0";"61.000";"lieferbar";"5030937124116.jpg";"0";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Sportspiele"
"XB11002";"5030939124428";"FIFA 21  Xbox One";"47.000";"0";"47.000";"Neuheit";"5030939124428.jpg";"0";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Sportspiele"
"XBX003";"5051890324115";"FORTNITE - The Last Laugh Bundle  Xbox One / XBOX X";"19.490";"0";"19.490";"Neuheit";"";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";""
"XB10933";"5026555362535";"Grand Theft Auto V  Premium Edition  Xbox One";"12.990";"0";"12.990";"lieferbar";"5026555362535.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";""
"XB10993";"5026555362665";"Mafia 1  Definitive Edition  Xbox One";"24.500";"0";"24.500";"lieferbar";"5026555362665.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB10994";"5026555362788";"Mafia Trilogy  Xbox One";"38.000";"0";"38.000";"lieferbar";"5026555362788.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11017";"5030948122989";"NHL 21  Xbox One";"47.000";"0";"47.000";"Neuheit";"";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Sportspiele"
"XB10952";"3391892007572";"One Piece: Pirate Warriors 4  Xbox One";"19.990";"0";"19.990";"lieferbar";"3391892007572.jpg";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
