"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"CDR11866";"4020628742980";"9 Monkeys of Shaolin  PC";"12.500";"0";"12.500";"Neuheit";"4020628742980.jpg";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11790";"4020628741860";"Age of Wonders: Planetfall  Day One Edition  PC";"13.500";"0";"13.500";"lieferbar";"4020628741860.jpg";"16";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11967";"3307216167365";"Assassin´s Creed Valhalla  PC";"41.500";"0";"41.500";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11908";"9120080071262";"Biomutant  PC";"39.000";"0";"39.000";"Neuheit";"9120080071262.jpg";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11943";"4015918146876";"Bus Mechanic Simulator  PC";"14.990";"0";"14.990";"lieferbar";"";"0";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
"CDR11068";"5026555065399";"Civilization VI  PC";"7.990";"0";"7.990";"lieferbar";"5026555065399usk.jpg";"12";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11442";"4020628777074";"Cossacks 3  Gold Edition  PC";"6.500";"0";"6.500";"lieferbar";"4020628777074.jpg";"12";"";"";"HCDR";"";"PC SPIELE";"Strategiespiele"
"CDR11888";"5902367641221";"Cyberpunk 2077  Day One Edition  PC";"40.000";"0";"40.000";"Neuheit";"5902367641221.jpg";"18";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11936";"8023171044873";"Death Stranding  DeLuxe Edition - Steelbook  PC";"47.500";"0";"47.500";"Neuheit";"";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11955";"9120080075277";"Desperados 3  Collector´s Edition  PC";"72.500";"0";"72.500";"lieferbar";"";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11953";"9120080074652";"Destroy All Humans!  PC";"19.000";"0";"19.000";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11923";"3701403100560";"Detroit Become Human  PC";"26.000";"0";"26.000";"kein Bestand";"";"16";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11049";"5055856407560";"Dishonored 2: Das Vermächtnis der Maske - Import (AT)  PC";"4.990";"0";"4.990";"lieferbar";"5055856407560.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR10865";"5055856403609";"DOOM - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"doom_pegi_pc.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11819";"5030930096960";"Dragon Age: Origins - Ultimate Edition - Import (UK)  PC";"0.990";"0";"0.990";"lieferbar";"";"19";"";"";"HCDR";"";"PC SPIELE";"Rollenspiele RPG"
"CDR11950";"4020628717650";"Dungeons 3  Complete Collection  PC";"25.500";"0";"25.500";"lieferbar";"";"";"";"";"HCDR";"";"PC SPIELE";"Rollenspiele RPG"
"CDR11947";"4020628722562";"F1 2020 - 70 Jahre F1 Edition  PC";"30.500";"0";"30.500";"Neuheit";"";"0";"";"";"HCDR";"";"PC SPIELE";"Rennspiele"
"CDR11429";"5055856418580";"Fallout 4  Game of the Year Edition - Import (AT)  PC";"9.990";"0";"9.990";"lieferbar";"5055856418580.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Rollenspiele RPG"
"CDR10574";"5055856406464";"Fallout 4 - Import (AT)  PC";"3.990";"0";"3.990";"lieferbar";"5055856406464.jpg";"19";"";"";"HCDR";"";"PC SPIELE";"Rollenspiele RPG"
"CDR11857";"5055277036073";"Football Manager 2020  PC";"22.500";"0";"22.500";"lieferbar";"5055277036073.jpg";"0";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
"CDR11885";"3307216145271";"Gods & Monsters  PC";"41.500";"0";"41.500";"Neuheit";"";"";"";"";"HCDR";"";"PC SPIELE";"Actionspiele"
"CDR11501";"4020628771188";"Goldgräber Simulator  PC";"6.500";"0";"6.500";"lieferbar";"4020628771188.jpg";"0";"";"";"HCDR";"";"PC SPIELE";"Simulationen"
